drug_clean,smiles
"ALANINE\ARGININE\ASPARTIC ACID\CALCIUM CHLORIDE\DEXTROSE MONOHYDRATE\GLUTAMIC ACID\GLYCINE\HISTIDINE\ISOLEUCINE\LEUCINE\LYSINE ACETATE\MAGNESIUM CHLORIDE\METHIONINE\N-ACETYL-TYROSINE\PHENYLALANINE\POTASSIUM CHLORIDE\POTASSIUM PHOSPHATE, DIBASIC\PROLINE\SE",
ALAVERT ALLERGY,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
ALAWAY,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1.C(=C/C(=O)O)\C(=O)O
ALBENDAZOLE,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
ALBIGLUTIDE,CC[C@H](C)[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)O)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H](CC6=CNC=N6)N
ALBUMIN HUMAN,
ALBUMINAR,
ALBUREX,
ALBURX,
ALBUTEIN,
ALBUTEROL,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
ALBUTEROL SULFATE,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.OS(=O)(=O)O
ALBUTEROL SULFATE\IPRATROPIUM BROMIDE,
ALBUTEROL\BUDESONIDE,
ALBUTEROL\IPRATROPIUM,
ALBUTEROL\IPRATROPIUM BROMIDE,
ALCAINE,CCCOC1=C(C=C(C=C1)C(=O)OCCN(CC)CC)N.Cl
